Company,Name Gara,Address,Phone,Province,Brand,Liên kết
Vinfast - Chevrolet Hà Nội,Chevrolet Hà Nội,"948 Quang Trung kéo dài, phường Yên Nghĩa, quận Hà Đông, thành phố Hà Nội",,Hà Nội,Chevrolet,PJICO
Vinfast - Chevrolet Đại Việt,Chevrolet Đại Việt,"Số 1 Nguyễn Văn Linh, Long Biên, HN",,Hà Nội,Chevrolet,PJICO
Vinfast - Chevrolet Thăng Long,Chevrolet Thăng Long,"68 Trịnh Văn Bô, Nam Từ Liêm, HN",,Hà Nội,Chevrolet,PJICO
Vinfast - Chevrolet Newway,Chevrolet Newway,"183 Yên Lãng, HN",,Hà Nội,Chevrolet,PJICO
Vinfast Mỹ Đình,Vinfast Mỹ Đình,"Số 8 Phạm Hùng, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",,Hà Nội,Vinfast,PJICO
Vinfast Hà Thành,Vinfast Hà Thành,"162 Trường Chinh, Khương Thượng, Đống Đa, Hà Nội",,Hà Nội,Vinfast,PJICO
Peugeot Thanh Xuân,Peugeot Thanh Xuân,"Số 12, Đường Khuất Duy Tiến, Phường Thanh Xuân Trung, Q. Thanh Xuân, HN",024 7306 9026,Hà Nội,Peugeot,PJICO
Peugeot Giải Phóng,Peugeot Giải Phóng,"Km 10, Đường Giải Phóng, xã Tứ Hiệp, Huyện Thanh Trì, TP. Hà Nội",,Hà Nội,Peugeot,PJICO
Peugeot Long Biên,Peugeot Long Biên,"Số 541, Nguyễn Văn Cừ, Gia Thụy, Long Biên, Hà Nội",,Hà Nội,Peugeot,PJICO
BMW Long Biên,BMW Long Biên,"Số 1, Đường Ngô Gia Tự, Phường Đức Giang, Q. Long Biên, Hà Nội",,Hà Nội,Bmw,PJICO
CTCP thế giới thiết bị (Kia Bạch Đằng),Kia Bạch Đằng,"315 - Nguyễn Khoái, Hai Bà Trưng, Hà Nội",,Hà Nội,Kia,PJICO
Công ty CP DĐT phát triển thương mại Trang An (kia Đống Đa),kia Đống Đa,568 Đường Láng – Đống Đa – Hà Nội,0437.762.583,Hà Nội,Kia,PJICO
Chi Nhánh Long Biên - Công Ty Cổ Phần ô tô Trường Hải (kia Long Biên),kia Long Biên,"2A Ngô Gia Tự, P.Đức Giang, Q.Long Biên, TP.Hà Nội",,Hà Nội,Kia,PJICO
CN Giải Phóng – CT CP ô tô Trường Hải (Kia Giải Phóng),Kia Giải Phóng,"Km10 Giải Phóng, Thanh Trì, Hà Nội",,Hà Nội,Kia,PJICO
CN bắc Từ Liêm Hà Nội – CTCP ô tô Trường Hải (Kia Phạm Văn Đồng),Kia Phạm Văn Đồng,"Lô CC2, KĐT thành phố Giao Lưu, Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",,Hà Nội,Kia,PJICO
Kia Hà Đông,Kia Hà Đông,"Số 889, Tổ 9, Phường Phú Lãm, Quận Hà Đông, Hà Nội",,Hà Nội,Kia,PJICO
Công ty TNHH DV và Cơ khí Hải Đăng (gara Hải Đăng):,gara Hải Đăng):,Tổ 20 – P.Sài Đồng – Q.Long Biên – Hà Nội,,Hà Nội,Multibrand,PJICO
Công ty TNHH ô tô Đức Tùng (gara Đức Tùng),gara Đức Tùng,Số 2 - Lãng Yên - Hai Bà Trưng - Hà Nội,,Hà Nội,Multibrand,PJICO
Công ty CP TM & DV sửa chữa ô tô Petrolimex (gara Petrolimex),gara Petrolimex,49 đường Đức Giang – Long Biên – Hà nội,,Hà Nội,Multibrand,PJICO
Công ty cổ phần dịch vụ ô tô Toàn Cầu (gara Toàn Cầu),gara Toàn Cầu,"Số 3, lô 8 đường Nguyễn Văn Linh, Long Biên, Hà Nội",,Hà Nội,Multibrand,PJICO
Công ty cổ phần Vi auto (gara Viauto),gara Viauto,"Số 10 Lê Quang Đạo, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",,Hà Nội,Multibrand,PJICO
Gara Đức Lợi,Gara Đức Lợi,"233 Lê Duẩn, Hai Bà Trưng, HN",,Hà Nội,Multibrand,PJICO
Gara Bệnh viện xe hơi,Gara Bệnh viện xe hơi,584 Lạc Long Quân,,Hà Nội,Multibrand,PJICO
Gara Trung Lân,Gara Trung Lân,"Ngõ 3, Tôn Thất Thuyết, Cầu Giấy, HN",,Hà Nội,Multibrand,PJICO
Công ty cổ phần đầu tư thương mại Quang Đức (gara Quang Đức),gara Quang Đức,1075 đường Giải Phóng - Hoàng Mai – Hà Nội,,Hà Nội,Multibrand,PJICO
Công ty CP DV TM Trường Phát (gara Trường Phát),gara Trường Phát,11/538 Đường Láng – Đống Đa – Hà Nội.,,Hà Nội,Multibrand,PJICO
Công ty cổ phần dịch vụ và thương mại Trường Phát Thăng Long,Công ty cổ phần dịch vụ và thương mại Trường Phát Thăng Long,"Khu B, Đường Tân Xuân, Phường Đông Ngạc, Q. Bắc Từ Liêm, TP. Hà Nội",,Hà Nội,Multibrand,PJICO
Công ty TNHH ô Tô HTC Hà Nội,Công ty TNHH ô Tô HTC Hà Nội,"Số 11A, Phố Dịch Vọng, P. Dịch Vọng Hậu, Q. Cầu Giấy, Hà Nội",,Hà Nội,Multibrand,PJICO
Công ty cổ phần Thương Mại và Dịch vụ ô tô TCT,Công ty cổ phần Thương Mại và Dịch vụ ô tô TCT,"Số 3, Ngõ 87, Phố Lê Thanh Nghị, Phường Đồng Tâm, Q. Hai Bà Trưng, Hà Nội",,Hà Nội,Multibrand,PJICO
Hino Việt Đăng,Hino Việt Đăng,"Km số 3, Đường Phan Trọng Tuệ, Xã Tam Hiệp, Huyện Thanh Trì, Hà Nội",,Hà Nội,Multibrand,PJICO
Trung Đại Tu,Trung Đại Tu,"158 Phan Trọng Tuệ, Thanh Liệt, Thanh Trì, Hà Nội",,Hà Nội,Multibrand,PJICO
Minh Quốc Trí,Minh Quốc Trí,"Số 5, Ngách 174/18 Đường Lạc Long Quân, Phường Bưởi, Q. Tây Hồ, Hà Nội",,Hà Nội,Multibrand,PJICO
Lexus Thăng long,Lexus Thăng long,"Ngã tư Phạm Hùng, Dương Đình Nghệ, tổ dân phố số 8, phường Mỹ Đình 1, Q. Nam Từ Liêm, Tp. Hà Nội",,Hà Nội,Lexus,PJICO
CHEVROLET VIỆT LONG,CHEVROLET VIỆT LONG,"936 QL1A, P. Thạnh Xuân",,Tp Hcm,Chevrolet,PJICO
CHEVROLET AN THÁI,CHEVROLET AN THÁI,464 Kinh Dương Vương,,Tp Hcm,Chevrolet,PJICO
CITY FORD,CITY FORD,"260 QL13, P Hiệp Bình Chánh",08 66803257,Tp Hcm,Ford,PJICO
FORD BẾN THÀNH,FORD BẾN THÀNH,831 Trường Chinh,,Tp Hcm,Ford,PJICO
FORD GIA ĐỊNH,FORD GIA ĐỊNH,900 QL1a,,Tp Hcm,Ford,PJICO
FORD PHÚ MỸ,FORD PHÚ MỸ,"KCN Cát Lái 2, P Thạnh Mỹ Lợi",,Tp Hcm,Ford,PJICO
FORD TÂY,FORD TÂY,"530 Kinh Dương Vương, P An Lạc.",,Tp Hcm,Ford,PJICO
SÀI GÒN FORD,SÀI GÒN FORD,"61A Cao Thắng, P3",,Tp Hcm,Ford,PJICO
GARAGE AN PHÚ,GARAGE AN PHÚ,"Số 2 , đường 18, P. An Phú",,Tp Hcm,Multibrand,PJICO
GARAGE ANYCAR,GARAGE ANYCAR,250 Lương Đình Của,,Tp Hcm,Multibrand,PJICO
GARAGE AUTO PHÚ MỸ,GARAGE AUTO PHÚ MỸ,714 Huỳnh Tấn Phát,,Tp Hcm,Multibrand,PJICO
GARAGE AUTOMEX,GARAGE AUTOMEX,76 Tân Hóa - P13,,Tp Hcm,Multibrand,PJICO
GARAGE BÁ THÀNH,GARAGE BÁ THÀNH,"462 Phan Văn Trị, P.7",,Tp Hcm,Multibrand,PJICO
GARAGE CHEVROLET HỢP LỰC,GARAGE CHEVROLET HỢP LỰC,47/6 Kênh Tân Hóa,,Tp Hcm,Chevrolet,PJICO
GARAGE CHÍNH HIỆP,GARAGE CHÍNH HIỆP,"39 Đỗ Quang, P. Thảo Điền",,Tp Hcm,Multibrand,PJICO
GARAGE CHÍNH HIỆP,GARAGE CHÍNH HIỆP,"14 Trần Quốc Tuấn, P.1",,Tp Hcm,Multibrand,PJICO
GARAGE ĐẠI PHÚ,GARAGE ĐẠI PHÚ,Đào Trí,,Tp Hcm,Multibrand,PJICO
GARAGE GIA ĐÌNH VIỆT,GARAGE GIA ĐÌNH VIỆT,"102 Phổ Quang, P2",,Tp Hcm,Multibrand,PJICO
GARAGE LTK BÌNH TRIỆU,GARAGE LTK BÌNH TRIỆU,"188/1 QL13, P. Hiệp Bình Chánh",,Tp Hcm,Multibrand,PJICO
GARAGE MÊ KONG XANH,GARAGE MÊ KONG XANH,15 Đào Duy Anh,,Tp Hcm,Multibrand,PJICO
GARAGE MINH ĐỨC,GARAGE MINH ĐỨC,"106/10, Điện Biên Phủ, P17",,Tp Hcm,Multibrand,PJICO
GARAGE MINH PHÁT,GARAGE MINH PHÁT,"53/6A Phạm Văn Chiêu, P14",,Tp Hcm,Multibrand,PJICO
GARAGE NGUYÊN GIA PHÁT,GARAGE NGUYÊN GIA PHÁT,"Lái Thiêu, Thuận An, Bình Dương",,Tp Hcm,Multibrand,PJICO
GARAGE NGUYỄN TRỨ,GARAGE NGUYỄN TRỨ,"217 Đại Học Nông lâm, P. Linh Trung",,Tp Hcm,Multibrand,PJICO
GARAGE Ô TÔ BÌNH LÂM,GARAGE Ô TÔ BÌNH LÂM,"384 /25 Kha Vạn Cân, P. Hiệp Bình Chánh",,Tp Hcm,Multibrand,PJICO
GARAGE Ô TÔ VIỆT,GARAGE Ô TÔ VIỆT,"296 Lê Trọng Tấn, P15",,Tp Hcm,Multibrand,PJICO
GARAGE PHÚ VINH,GARAGE PHÚ VINH,39 Nguyễn Tư Giản,,Tp Hcm,Multibrand,PJICO
GARAGE PHƯƠNG BẢO MINH,GARAGE PHƯƠNG BẢO MINH,"375-377 Tây Thạnh, P. Tây Thạnh",,Tp Hcm,Multibrand,PJICO
GARAGE PHƯƠNG NAM,GARAGE PHƯƠNG NAM,"1295B Nguyễn Thị Định, Cát Lái",,Tp Hcm,Multibrand,PJICO
GARAGE THANH HẬU,GARAGE THANH HẬU,"520A Hà Huy Giáp, P. Thạnh Lộc",,Tp Hcm,Multibrand,PJICO
GARAGE TRẦN HẠNH,GARAGE TRẦN HẠNH,158/25 Huỳnh Mẫn Đạt,,Tp Hcm,Multibrand,PJICO
GARAGE TRUNG CHÁNH,GARAGE TRUNG CHÁNH,21/7 QL22,,Tp Hcm,Multibrand,PJICO
GARAGE TRUNG PHONG,GARAGE TRUNG PHONG,1028 Phạm Thế Hiển,,Tp Hcm,Multibrand,PJICO
GARAGE TRUNG THÚY,GARAGE TRUNG THÚY,191/11 Tạ Quang Bửu,,Tp Hcm,Multibrand,PJICO
GARAGE PACIFIC AUTO,GARAGE PACIFIC AUTO,148 Trường Chinh,,Tp Hcm,Multibrand,PJICO
GARAGE TUẤN ANH,GARAGE TUẤN ANH,143 Ung Văn Khiêm,061 3559960,Tp Hcm,Multibrand,PJICO
GARAGE TUẤN DŨNG,GARAGE TUẤN DŨNG,"243 Đồng Đen, P10",,Tp Hcm,Multibrand,PJICO
GARAGE VŨ KHÔI,GARAGE VŨ KHÔI,"Quang Trung, Hiệp Phú",,Tp Hcm,Multibrand,PJICO
LANDROVER,LANDROVER,"KCN Cát Lái 2, P Thạnh Mỹ Lợi",,Tp Hcm,Multibrand,PJICO
HINO ĐẠI PHÁT TÍN,HINO ĐẠI PHÁT TÍN,"1286 QL1A, Thới An",,Tp Hcm,Multibrand,PJICO
HINO SAO BẮC,HINO SAO BẮC,"120/7B QL13, P.Hiệp Bình Phước",,Tp Hcm,Multibrand,PJICO
HONDA KIM THANH,HONDA KIM THANH,"6 đường 3/2, P15",,Tp Hcm,Honda,PJICO
HONDA CỘNG HÒA,HONDA CỘNG HÒA,"18 Cộng Hòa, P4.",,Tp Hcm,Honda,PJICO
HONDA PHÁT TIẾN (Q2),HONDA PHÁT TIẾN (Q2),136 D Mai Chí Thọ,,Tp Hcm,Honda,PJICO
HONDA PHƯỚC THÀNH,HONDA PHƯỚC THÀNH,"1250-1252 Võ Văn Kiệt, P.10.",,Tp Hcm,Honda,PJICO
HONDA Q7,HONDA Q7,TTTM ven sông Tân Phong,,Tp Hcm,Honda,PJICO
HYUNDAI GIA ĐỊNH,HYUNDAI GIA ĐỊNH,"162 Phạm Văn Đồng, P3",,Tp Hcm,Hyundai,PJICO
HYUNDAI KINH DƯƠNG VƯƠNG,HYUNDAI KINH DƯƠNG VƯƠNG,"701 Kinh Dương Vương, P. An Lạc",,Tp Hcm,Hyundai,PJICO
HYUNDAI NGỌC AN,HYUNDAI NGỌC AN,"327 QL13, P.Hiệp Bình Phước",,Tp Hcm,Hyundai,PJICO
HYUNDAI TRƯỜNG CHINH,HYUNDAI TRƯỜNG CHINH,"18 Cộng Hòa, P4.",,Tp Hcm,Hyundai,PJICO
HYUNDAI VIỆT HÀN,HYUNDAI VIỆT HÀN,"387 QL13, P.Hiệp Bình Phước",083 7262895,Tp Hcm,Hyundai,PJICO
THACO BÌNH TÂN,THACO BÌNH TÂN,,0nan,Tp Hcm,Thaco,PJICO
THACO TRƯỜNG CHINH,THACO TRƯỜNG CHINH,827A Trường Chinh,,Tp Hcm,Thaco,PJICO
MITSUBISHI HỒNG HÀ,MITSUBISHI HỒNG HÀ,1A Hồng Hà,,Tp Hcm,Mitsubishi,PJICO
MITSUBISHI ISAMCO,MITSUBISHI ISAMCO,"139 Cô Giang, P Cô Giang",,Tp Hcm,Mitsubishi,PJICO
MITSUBISHI PHƯƠNG NGUYÊN,MITSUBISHI PHƯƠNG NGUYÊN,63A Võ Văn Kiệt,,Tp Hcm,Mitsubishi,PJICO
MITSUBISHI Q7,MITSUBISHI Q7,Huỳnh Tấn Phát,,Tp Hcm,Mitsubishi,PJICO
NISSAN GÒ VẤP,NISSAN GÒ VẤP,"786 Nguyễn Kiệm, P3",,Tp Hcm,Nissan,PJICO
NISSAN MIỀN TÂY,NISSAN MIỀN TÂY,54 Kinh Dương Vương,,Tp Hcm,Nissan,PJICO
SUZUKI NGÔI SAO,SUZUKI NGÔI SAO,"510 QL13, P. Hiệp Bình Phước",,Tp Hcm,Suzuki,PJICO
TOYOTA BẾN THÀNH,TOYOTA BẾN THÀNH,"262 Trần Hưng Đạo, P. Nguyễn Cư Trinh",,Tp Hcm,Toyota,PJICO
TOYOTA AN SƯƠNG,TOYOTA AN SƯƠNG,"382 QL22, P. Trung Mỹ Tây",37199999,Tp Hcm,Toyota,PJICO
TOYOTA AN THÀNH,TOYOTA AN THÀNH,"Bùi Thanh Khiết, TT Tân Túc",,Tp Hcm,Toyota,PJICO
TOYOTA ĐÔNG SÀI GÒN,TOYOTA ĐÔNG SÀI GÒN,507 Xa lộ HN,,Tp Hcm,Toyota,PJICO
TOYOTA HÙNG VƯƠNG,TOYOTA HÙNG VƯƠNG,26 Kinh Dương Vương,39808888,Tp Hcm,Toyota,PJICO
TOYOTA LÝ THƯỜNG KIỆT,TOYOTA LÝ THƯỜNG KIỆT,"151A Lý Thường Kiệt, P6",08 39713838,Tp Hcm,Toyota,PJICO
TOYOTA PHÚ MỸ HƯNG,TOYOTA PHÚ MỸ HƯNG,,0nan,Tp Hcm,Toyota,PJICO
GARAGE THIÊN HẢI,GARAGE THIÊN HẢI,93 Phạm Văn Chiêu,,Tp Hcm,Multibrand,PJICO
ISUZU TÂY BẮC,ISUZU TÂY BẮC,,0nan,Tp Hcm,Isuzu,PJICO
ISUZU VÂN NAM,ISUZU VÂN NAM,,0nan,Tp Hcm,Isuzu,PJICO
CÔNG TY TNHH MỘT THÀNH VIÊN BẮC NINH TRƯỜNG HẢI,CÔNG TY TNHH MỘT THÀNH VIÊN BẮC NINH TRƯỜNG HẢI,"Km3, quốc lộ 18A, Phường Đại Phúc, Thành phố Bắc Ninh, Tỉnh Bắc Ninh",02223 828 816,Bắc Ninh,Multibrand,PJICO
CÔNG TY TNHH TOYOTA BẮC NINH,TOYOTA BẮC NINH,"Lê Thái Tổ,Võ Cường,Bắc Ninh",2223686666,Bắc Ninh,Toyota,PJICO
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI PHƯƠNG THẢO PHÁT,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI PHƯƠNG THẢO PHÁT,"Đường Lê Thái Tổ, Thôn Hòa Đình, Phường Võ Cường, Thành Phố Bắc Ninh, Tỉnh Bắc Ninh",2223817777,Bắc Ninh,Multibrand,PJICO
CÔNG TY TNHH DƯƠNG TUẤN,CÔNG TY TNHH DƯƠNG TUẤN,Đường Lê Thái Tổ - Võ Cường - TP. Bắc Ninh - Bắc Ninh,2223636666,Bắc Ninh,Multibrand,PJICO
CÔNG TY TNHH TOYOTA LONG BIÊN,TOYOTA LONG BIÊN,"số 7 và 9 Nguyễn Văn Linh, phường Gia Thụy, Quận Long Biên, TP. Hà Nội",2403636363,Bắc Ninh,Toyota,PJICO
CÔNG TY TNHH Ô TÔ BẮC NINH,CÔNG TY TNHH Ô TÔ BẮC NINH,"Lê Thái Tổ,Võ Cường,Bắc Ninh",2223686666,Bắc Ninh,Multibrand,PJICO
CÔNG TY TNHH HAN NAM,HONDA BẮC NINH,"Lê Thái Tổ,Võ Cường,Bắc Ninh",2223686666,Bắc Ninh,Multibrand,PJICO
CÔNG TY CỔ PHẦN DỊCH VỤ Ô TÔ KINH BẮC,CÔNG TY CỔ PHẦN DỊCH VỤ Ô TÔ KINH BẮC,"Số 168 Nguyễn Công Hãng, Kinh Bắc, Bắc Ninh",968737373,Bắc Ninh,Multibrand,PJICO
CÔNG TY TNHH NICE CAR VIỆT NAM,CÔNG TY TNHH NICE CAR VIỆT NAM,"Số 95 đường Bình Than, Đại Phúc, Bắc Ninh",904986171,Bắc Ninh,Multibrand,PJICO
CÔNG TY TNHH SỬA CHỮA Ô TÔ TRẦN ĐỨC,CÔNG TY TNHH SỬA CHỮA Ô TÔ TRẦN ĐỨC,"Số 109 khu Tân Hồng, p.Tân Hồng, Từ Sơn, Bắc Ninh",222764288,Bắc Ninh,Multibrand,PJICO
CÔNG TY CỔ PHẦN TOYOTA TỪ SƠN,TOYOTA TỪ SƠN,"Số 1 đường Lý Thái Tổ, p.Tân Hồng, Từ Sơn, Bắc Ninh",2223686666,Bắc Ninh,Toyota,PJICO
CÔNG TY HÙNG HƯƠNG TNHH,CÔNG TY HÙNG HƯƠNG TNHH,"Số 10, Nguyễn Đăng Đạo, tp.Bắc Ninh",2223896553,Bắc Ninh,Multibrand,PJICO
CÔNG TY TNHH MINH THÀNH VINA,CÔNG TY TNHH MINH THÀNH VINA,"Khu 5, Đại Phúc, Bắc Ninh",984809787,Bắc Ninh,Multibrand,PJICO
Phùng Bình Ánh,Phùng Bình Ánh,"Tổ 4, P Ỷ La, TP Tuyên Quang",974256686,Tuyên Quang,Multibrand,PJICO
Hoàng Xuân Yêm,Hoàng Xuân Yêm,"Tổ 1, P Minh Xuân, TP Tuyên Quang",2073818971,Tuyên Quang,Multibrand,PJICO
Trần Văn Ngân,Trần Văn Ngân,"Tổ 13, P Tân Hà, TP Tuyên Quang",913083636,Tuyên Quang,Multibrand,PJICO
